id,query,answer_ids
0,I'm looking for a waterproof black and red bicycle frame bag that features a clear PVC window for a 5.5-inch smartphone and includes a built-in headphone jack so I can listen to music while riding.,[627620]
1,I'm looking for a Buna-N rubber o-ring replacement kit from Orings-Online specifically for a Spyder AMG LCD paintball marker that includes all the necessary seals for the bolt and regulators to help restore my shot's velocity and accuracy.,[537265]
2,I'm looking for some men's skinny athletic sweatpants specifically for soccer training that feel comfortable but might run a bit larger than expected.,[764734]
3,"I'm looking for a lightweight, purple and black canopy hat with an elastic headband and 8 sturdy ribs, ideal for hands-free use during outdoor activities like fishing or golfing.",[414488]
4,"I'm looking for a quiet, single-tub portable washing machine with a 4.4-pound wash capacity and a bottom-mounted agitator that runs on 120V. I need a budget-friendly alternative to the Panda brand for use in a small apartment or while camping.",[322812]
5,I am looking for a solid pine ammo box from Hornady that features a red logo on the front and a burned-in Teddy Roosevelt 405 illustration on the lid.,[40550]
6,"I'm looking for a pink, disposable, and hygienic portable urinal specifically designed for women to use during emergencies like camping or long car trips that turns liquid into a solid gel.",[686550]
7,"I'm looking for a set of red and black G10 grips for a full-size 1911 Government model that feature a big scoop design and an ambi safety cut, and ideally come with the mounting screws and o-rings included.",[910156]
8,I'm looking for a women's size 16 purple 2mm shorty wetsuit for warm water sports that features an adjustable velcro neck and a SmoothSkin front panel.,[443676]
9,I am looking for a thick and absorbent cotton terry cloth athletic headband that is specifically designed to fit people with larger heads for sports like basketball or baseball.,[873076]
